run_id,profile,model,case,scenario,attack_label,seed,temperature,t_a,t_b,horizon_s,stopped_reason,recovery_success,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,n_tool_calls,prompt_tokens,completion_tokens,wall_time_s,error
20260419T103357Z__minimax-m2__kundur_a1_mild__s0,minimax-m2,MiniMax M2.7,kundur,kundur_a1_mild,A1,0,0.0,2.0,4.0,15.0,horizon_reached,True,0.0,True,delta,2.866766666666664,0.007525575054679656,0.8626276213156253,4.978731729552986,0.8107685692218718,15,21705,2260,59.08608980000281,
20260419T103458Z__minimax-m2__kundur_a1_mild__s1,minimax-m2,MiniMax M2.7,kundur,kundur_a1_mild,A1,1,0.0,2.0,4.0,15.0,horizon_reached,True,3.477,True,delta,2.866766666666664,0.007525575054679656,0.8626276213156253,14.83771044238374,0.5599911664465234,11,28426,4557,135.09988089999752,
20260419T103714Z__minimax-m2__kundur_a1_mild__s2,minimax-m2,MiniMax M2.7,kundur,kundur_a1_mild,A1,2,0.0,2.0,4.0,15.0,horizon_reached,True,0.0,True,delta,2.866766666666664,0.007525575054679656,0.8626276213156253,12.521002869775055,0.5599911664465234,12,29005,2095,61.15768670000034,
20260419T103816Z__deepseek-chat__kundur_a1_mild__s0,deepseek-chat,deepseek-chat,kundur,kundur_a1_mild,A1,0,0.0,2.0,4.0,15.0,max_steps+autorolled,True,0.0,True,delta,2.866766666666664,0.007525575054679656,0.8626276213156253,14.837710448940319,0.5599911664465234,10,58677,1490,51.593058099999325,
20260419T103909Z__deepseek-chat__kundur_a1_mild__s1,deepseek-chat,deepseek-chat,kundur,kundur_a1_mild,A1,1,0.0,2.0,4.0,15.0,max_steps+autorolled,True,0.0,True,delta,2.866766666666664,0.007525575054679656,0.8626276213156253,14.837710455079433,0.5599911664465234,10,46641,975,38.51269569999931,
20260419T103948Z__deepseek-chat__kundur_a1_mild__s2,deepseek-chat,deepseek-chat,kundur,kundur_a1_mild,A1,2,0.0,2.0,4.0,15.0,max_steps+autorolled,True,0.0,True,delta,2.866766666666664,0.007525575054679656,0.8626276213156253,14.837710448523056,0.5599911664465234,10,45877,957,39.49540530000013,
20260419T104028Z__qwen3-plus__kundur_a1_mild__s0,qwen3-plus,qwen-plus-latest,kundur,kundur_a1_mild,A1,0,0.0,2.0,4.0,15.0,horizon_reached,True,8.202,True,delta,2.866766666666664,0.007525575054679656,0.8626276213156253,14.83771044238374,0.5599911664465234,10,129270,2504,66.87536589999945,
20260419T104136Z__qwen3-plus__kundur_a1_mild__s1,qwen3-plus,qwen-plus-latest,kundur,kundur_a1_mild,A1,1,0.0,2.0,4.0,15.0,horizon_reached,True,4.725,True,delta,2.866766666666664,0.007525575054679656,0.8626276213156253,14.83771044238374,0.5599911664465234,10,36033,1217,31.389115300000412,
20260419T104208Z__qwen3-plus__kundur_a1_mild__s2,qwen3-plus,qwen-plus-latest,kundur,kundur_a1_mild,A1,2,0.0,2.0,4.0,15.0,horizon_reached,True,4.725,True,delta,2.866766666666664,0.007525575054679656,0.8626276213156253,14.83771044238374,0.5599911664465234,10,57857,2054,52.76128260000041,
