run_id,profile,model,case,seed,temperature,horizon_s,stopped_reason,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,n_tool_calls,prompt_tokens,completion_tokens,wall_time_s,error
20260419T031903Z__deepseek-chat__kundur__s0,deepseek-chat,deepseek-chat,kundur,0,0.0,10.0,max_steps,True,voltage,0.36666666666666664,0.02960805862370286,1.4447879107725395e-14,3.4558659873856747,3.2074974715818954,12,30687,1182,49.07587280000007,
20260419T031954Z__deepseek-chat__kundur__s1,deepseek-chat,deepseek-chat,kundur,1,0.0,10.0,max_steps,True,voltage,0.5001,0.03326014010159484,3.074943096165316e-14,3.7372160720721013,3.1804201356387294,12,33229,1620,65.2394690000001,
20260419T032059Z__deepseek-chat__kundur__s2,deepseek-chat,deepseek-chat,kundur,2,0.0,10.0,no_tool_call,True,voltage,0.5001,0.029653980163575566,6.333659296045813e-12,3.2623000202118435,3.2348900436311947,11,29838,1492,58.12114979999933,
20260419T032158Z__deepseek-chat__ieee39__s0,deepseek-chat,deepseek-chat,ieee39,0,0.0,10.0,no_tool_call,True,voltage,0.5001,0.003523607060093137,0.005108468152549262,2.337534965552275,3.1614186323017286,11,39627,1581,62.90905350000048,
20260419T032302Z__deepseek-chat__ieee39__s1,deepseek-chat,deepseek-chat,ieee39,1,0.0,10.0,horizon_reached,True,voltage,0.5001,0.002302352513119832,0.005001052487603755,2.012778814216689,1.085528532233716,11,36251,1572,64.29307140000037,
20260419T032407Z__deepseek-chat__ieee39__s2,deepseek-chat,deepseek-chat,ieee39,2,0.0,10.0,max_steps,True,voltage,0.5001,0.003636674184932409,0.00498569969679255,2.36179454562144,3.1586402311585444,12,36719,1285,54.64188329999979,
