run_id,profile,model,case,scenario,attack_label,seed,temperature,t_a,t_b,horizon_s,stopped_reason,recovery_success,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,n_tool_calls,prompt_tokens,completion_tokens,wall_time_s,error
20260419T104302Z__minimax-m2__kundur_a1__s0,minimax-m2,MiniMax M2.7,kundur,kundur_a1,A1,0,0.0,2.0,3.0,15.0,max_steps+autorolled,False,8.202,True,voltage,2.0001,0.06000477754833233,2.657237203374498e-15,12.59920063443532,9.021363659130223,28,20968,3449,89.76037070000166,
20260419T104434Z__deepseek-chat__kundur_a1__s0,deepseek-chat,deepseek-chat,kundur,kundur_a1,A1,0,0.0,2.0,3.0,15.0,max_steps+autorolled,False,0.0,True,voltage,2.0001,0.5590456625088795,0.4194302459396467,1474.9889531951892,1453.1587446035758,10,45632,1215,56.48392559999775,
20260419T104531Z__qwen3-plus__kundur_a1__s0,qwen3-plus,qwen-plus-latest,kundur,kundur_a1,A1,0,0.0,2.0,3.0,15.0,no_tool_call+autorolled,False,27.34,True,voltage,2.0001,0.0600250745539197,2.0856272385296063e-17,12.599395525900917,9.021531558967975,22,120215,6276,147.3585082999998,
