run_id,red_profile,blue_profile,case,red_mode,prompt_variant,primary_fault,t_fault,seed,temperature,t_a,t_b,horizon_s,stopped_reason,truth_label,diagnosed_label,diag_correct,recovery_success,joint_outcome,load_shed_total_pu,failed,failure_reason,t_fail,omega_deviation_max,v_min,delta_drift_max,delta_spread_max,red_tool_calls,diag_tool_calls,mit_tool_calls,red_prompt_tokens,red_completion_tokens,diag_prompt_tokens,diag_completion_tokens,mit_prompt_tokens,mit_completion_tokens,prompt_tokens,completion_tokens,wall_time_s,error
20260419T141851Z__minimax-m2__qwen3-plus__ieee39__s0,minimax-m2,qwen3-plus,ieee39,none,baseline,primary_ieee39_bf_b16_80ms,3.0,0,0.0,5.0,8.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,False,,,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260419T141855Z__minimax-m2__qwen3-plus__ieee39__s0,minimax-m2,qwen3-plus,ieee39,none,baseline,primary_ieee39_bf_b22_80ms,3.0,0,0.0,5.0,8.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,False,,,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260419T141858Z__minimax-m2__qwen3-plus__ieee39__s0,minimax-m2,qwen3-plus,ieee39,none,baseline,primary_ieee39_bf_b29_100ms,3.0,0,0.0,5.0,8.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,False,,,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260419T141900Z__minimax-m2__qwen3-plus__ieee39__s0,minimax-m2,qwen3-plus,ieee39,none,baseline,primary_ieee39_bf_b02_60ms,3.0,0,0.0,5.0,8.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,False,,,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0.0,
20260419T141903Z__minimax-m2__qwen3-plus__ieee39__s0,minimax-m2,qwen3-plus,ieee39,none,baseline,primary_ieee39_load_step_pq08_plus25,3.0,0,0.0,5.0,8.0,30.0,completed,None,None,True,True,blue-win-clean,0.0,False,,,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0.0,
